CaseDate,CaseNo,Document,CaseUniqueID,IssueCR,IssueCI,OutcomeU_,OutcomeU,JudgeA,JudgeB,JudgeC,JudgeD,JudgeE,JudgeF,JudgeG,JudgeH,JudgeI,JudgeJ,JudgeK,JudgeL,JudgeM,JudgeN,JudgeO
2016-11-11,741,C,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-11,741,C,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2016-11-11,741,C,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-11-11,741,C,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-11-11,741,D,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-11-11,741,PartialC,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-12-09,742,C,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-09,742,C,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-12-09,742,C,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-12-09,742,C,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-12-09,742,C,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2016-12-09,742,D,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-09,742,PartialC,13,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-12-09,742,PartialC,14,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-12-09,742,PartialD,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-12-30,743,C,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-12-30,743,C,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-12-30,743,C,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-12-30,743,C,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2016-12-30,743,C,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-12-30,743,D,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-12-30,743,D,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-12-30,743,PartialCPartialD,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-30,743,PartialCPartialD,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-30,743,PartialD,25,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2017-01-06,744,C,26,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-01-06,744,C,27,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-01-06,744,C,28,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01-06,744,C,29,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-01-06,744,C,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-01-06,744,C,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-01-06,744,C,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-01-06,744,C,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-01-06,744,PartialC,34,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-06,744,PartialC,35,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-06,744,PartialD,36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-02-08,745,C,37,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-08,745,C,38,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-02-08,745,C,39,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-02-08,745,C,40,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-02-08,745,D,41,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-02-08,745,PartialC,42,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-08,745,PartialC,43,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
